album_name,artist_name,album_id,cover_url
Clocked In,Sobbel Sosch,50gRSPQMkG2mWqhC4KAuXq,https://i.scdn.co/image/ab67616d0000b273e092bc6094d3d3559f51515f
[oops],potsu,3YC7Yglgba2ZH3GLlK9NKy,https://i.scdn.co/image/ab67616d0000b273cae916bc23d25d4803c9ecac
Золотая коллекция,Oleg Anofriyev,08vFZXbIKtVjtQvrtkbfQx,https://i.scdn.co/image/ab67616d0000b2738e3b1b9e405c53169d715938
Midnight (feat. Liam Payne),Alesso,4Cq0dfyCX1msQ6ZRbdT4YG,https://i.scdn.co/image/ab67616d0000b273107d930ebe7cba0ff31c605c
Wistful,herman.,3vDWKmJe61mNxcdfWXVrTZ,https://i.scdn.co/image/ab67616d0000b2731657923c150cb74ab7a21b13
A Hard Day's Night,The Beatles,6wCttLq0ADzkPgtRnUihLV,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd
80s: 100 Remixes,Whitney Houston,,
Habit,Still Woozy,2vIIWsslRiFHiHPWFTsdaE,https://i.scdn.co/image/ab67616d0000b27388a4a43acf0d1901da9d2975
50,Credo,77TY7V5qA6YrrHn7ztkWLt,https://i.scdn.co/image/ab67616d0000b273ffcf696fd4a82d734dc6ae69
Voulez-Vouz,danicpeepner,,
Porto Allegre Groove,Ramon Riera,,
Lush Life,MLTSMTHNG,56fGBQvKBAEv15xe7pufam,https://i.scdn.co/image/ab67616d0000b273d9901bd840861fa951c91122
Love & Hate,Michael Kiwanuka,0qxsfpy2VU0i4eDR9RTaAU,https://i.scdn.co/image/ab67616d0000b2731070095e88dce90a090171b5
Blue Hawaii - Greatest Songs Of The Islands,Andy Williams,1RDm1SkQUdzaAgtjUewwYj,https://i.scdn.co/image/ab67616d0000b273f95614117521a7853bd6c975
A volta de Secos & Molhados,Secos & Molhados,4rNGFFaXZ7l0Vg6QrcHcUi,https://i.scdn.co/image/ab67616d0000b2739f0e7b0974da507e8289db25
Head & Heart (feat. MNEK),Joel Corry,5glfCPECXSHzidU6exW8wO,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb
Pain / Ache / Loving,HUNNY,6JnNMpc7Aekms1ly5U2OLq,https://i.scdn.co/image/ab67616d0000b273e3d82c309b8db3a153516715
Non Stop Ballīte Vol.2,Ornaments,,
Nevermind,Nirvana,2UJcKiJxNryhL050F5Z1Fk,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6
Daydream,Mariah Carey,1ibYM4abQtSVQFQWvDSo4J,https://i.scdn.co/image/ab67616d0000b273749e9bfa78277f30ad2c9a9c
"Final Lap (From ""Mario Kart 64"")",Game Monsters,3v9aB5dFp9IukCsgtDscap,https://i.scdn.co/image/ab67616d0000b273d972633d5c1ba6ee9c354ed3
Liberta',Al Bano,705yi9SH44Z4dykNzMjGoW,https://i.scdn.co/image/ab67616d0000b273fbe0b2820f869f9978d7e6c5
"La canzone dell'amore, vol. 3",Achille Togliani,2tLYamEZJUVGEk3Qe8yU7h,https://i.scdn.co/image/ab67616d0000b27305045a074718b94aec202756
Graduated (feat. Bryce Vine),Two Friends,0UFDCAqw66QqPHUUFQnHMB,https://i.scdn.co/image/ab67616d0000b273ea0eb547008bc2082dc5394b
Kiss Me More (feat. SZA),Doja Cat,,
Let Me Down (feat. blink-182),Oliver Tree,4SK5Gr8NdFobeo1t0MIYOV,https://i.scdn.co/image/ab67616d0000b27388583ea7e990b2f5eb37719d
Espresso EP,Sabrina Carpenter,2yIhXdfQKrzp7ENGxxI92c,https://i.scdn.co/image/ab67616d0000b273c05a328faddfd54ae08a1352
"Wario Shipyard (From ""Mario Kart 7"")",Game Monsters,4bSBosxoYbXuCfxI9jqFYy,https://i.scdn.co/image/ab67616d0000b273b0fe1bbbdbf11c0de09a5960
Good Deeds,Psylone,5sR91zougqHHVWLdnSzFHL,https://i.scdn.co/image/ab67616d0000b273266f906e45510c91333dc59b
A Christmas Gift For You From Phil Spector,Darlene Love,,
Versus Video Games,Daniel Tidwell,6x5FzhbnfedCUUUeNPRdj0,https://i.scdn.co/image/ab67616d0000b273ccde7fdf640a5e56e74b5092
Dream Your Life Away - Deluxe Edition,Vance Joy,2biVG6BYnVVSwLYd1OjbPT,https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7
Songs In A Minor,Alicia Keys,5qUlPoDmNxCSzqVx81RDLJ,https://i.scdn.co/image/ab67616d0000b2736d684b553a40e4a11e1db96d
Blue Neighbourhood,Troye Sivan,2mRBvhDWqm8Fj2U0F6mMY4,https://i.scdn.co/image/ab67616d0000b273cc2504583eeb105a99b54cc8
Grandes mestres da MPB,Jorge Ben Jor,3wvoawKuMJw5ROGw92BS4X,https://i.scdn.co/image/ab67616d0000b2730e0acf80b723d39d0cdfb2c6
I Just Called,NEIKED,4Qq3n68D2ktEi0eHFMdpSp,https://i.scdn.co/image/ab67616d0000b273edf18d3f1a163873a0cbd5b6
Black Hole Rainbow,Devon Gilfillian,1WQVKrzi1f3YlqTwf3QahU,https://i.scdn.co/image/ab67616d0000b2739e2f66404d0f07982b7af27a
The Wall,Pink Floyd,5Dbax7G8SWrP9xyzkOvy2F,https://i.scdn.co/image/ab67616d0000b273b694e89ba937dd2631ff584c
Crashing (feat. Bahari),ILLENIUM,24ZhIfDRtc1buuN8J9bWQm,https://i.scdn.co/image/ab67616d0000b27312498478716b9faf4bbfe8cd
